Distance from dealer,Sales Source,Free Shipping Cost,Stock Number,Car Class,Body,Color,Year,Make,Model,Mileage,Age,Trade ACV,Acquisition Cost,RECONDITIONING COST,Total Cost,Sale Price,Front Gross,Financing,warranty,insurance,other_products,Theft,Ultimate,Dent/Ding,Windshield,Tire/Wheel,Roadside,Bank Fees,Back Gross,Total Gross
9.956,Unknown,0,1cx09721,"Car, Luxury Sport",4D Sedan,,8,BMW,M5,46510,54,0,29000,3303,32771,32780,9,0,0,,,,,,,,,,0,9
9.956,eBay,0,1B115887,"Truck, Small Pick-up",2D Standard Cab,,5,CHEV,SSR,23751,19,3400,24000,2099.12,26567.12,26980,537.88,776.16,0,292,200,125,,,,,,75,1468.16,2006.04
28.451,Unknown,0,5F159072,"Truck, Large Pick-up",4D Crew Cab,White,14,GMC,SR35HD,10359,9,13000,52995,508,53971,54980,1134,300,0,0,200,,,,,,,,500,1634
211.972,eBay,0,3A210024,"Car, Intermediate",4D Sedan,White,13,HOND,ACCO,8674,77,5000,16775,711.41,17954.41,17980,150.59,239.4,0,0,,,,,,,,,239.4,389.99
18.226,eBay,0,95106473,"Car, Luxury Sport",2D Convertible,Red,12,CHEV,CORV,15949,26,0,42500,1160.1,44128.1,44500,496.9,863.13,1000,0,200,125,550,,,,,25,2763.13,3260.03
108.441,Autotrader,0,2E105014,"Van, Full Size Vans",Cargo Van,White,14,RAMT,PROM15,16674,50,8000,21875,130,22473,22980,632,0,0,0,200,125,,,,,,,325,957
13.556,eBay,0,1X338440,"Truck, Large Pick-up",4D CrewMax,White,14,TOYO,TUND,9734,28,0,34000,8371.08,42839.08,41990,-724.08,722.4,0,0,300,,,,,,,,1022.4,298.32
4.986,Cars.com,0,9EN91673,"Car, Luxury Sport",2D Coupe,Gray,95,BMW,M3,77870,62,10000,7000,733.42,8201.42,8980,903.58,0,0,0,,,,,,,,,0,903.58
227.898,Cargurus,0,3R202104,"SUV, Large Sport Utility",4D Sport Utility,,15,CHEV,TAHO,1105,50,19500,55275,537.55,56280.55,56980,824.45,0,0,0,200,125,,,,,,,325,1149.45
18.672,Unknown,0,3W592771,"SUV, Compact Sport Utility",4D Sport Utility,Gray,14,VW,TIGUAN,102,76,0,29275,400,30143,27990,-2028,456.88,0,0,200,125,,,,,,,781.88,-1246.12
170.029,eBay,750,2F103861,"Truck, Large Pick-up",4D Crew Cab,White,15,CHEV,SILV25,1457,33,0,44100,412.2,44980.2,45980,1124.8,0,0,0,200,,,,,,,,200,1324.8
1073.553,eBay,550,1G241304,"Truck, Large Pick-up",4D Crew Cab,,14,CHEV,SILV15,23990,20,4500,29000,2376.82,31844.82,31500,-219.82,0,0,0,200,125,,,,,,,325,105.18
6.476,eBay,0,3E543294,"Car, Intermediate",4D Sedan,Black,10,VW,CC,50520,72,0,12980,1263.12,14711.12,13980,-606.12,0,1000,242,,,,,,,,,1242,635.88
10.375,Cars.com,0,5M506234,"Car, Luxury",4D Sedan,Gray,11,INFI,G37,40971,15,0,21745,284.94,22497.94,22780,407.06,0,1000,242,200,125,,,,,,,1567,1974.06
228.347,EMAIL,0,2R130356,"SUV, Large Sport Utility",4D Sport Utility,White,14,CHEV,SUBUC,34693,62,0,43049.2,1430.2,44947.4,44980,157.6,3135.3,1000,0,200,125,,,,,,,4460.3,4617.9
1221.561,eBay,650,5C758287,"Car, Luxury High",4D Sedan,Silver,11,BMW,550I,43511,14,0,33300,650.36,34418.36,35000,706.64,0,0,0,,,,,,,,,0,706.64
644.738,eBay,550,2A270528,"SUV, Luxury Sport Utility",4D Sport Utility,Gray,11,LAND,RGRVSP,23712,133,0,47895,954.22,49317.22,44990,-4202.22,0,0,0,,,,,,,,,0,-4202.22
627.584,eBay,250,3158350,"Van, Full Size Vans",4D Van,Black,12,GMC,SAVA15,18061,122,28500,45675,813.39,46956.39,39990,-6841.39,0,0,1000,,,,,,,,,1000,-5841.39
292.995,eBay,200,5G335250,"Truck, Large Pick-up",4D Crew Cab,Black,13,GMC,SIER15,16706,11,24000,37875,1377.77,39720.77,39980,384.23,659.74,1000,0,200,125,,,,,,,1984.74,2368.97
