Distance from dealer,Sales Source,Free Shipping Cost,Stock Number,Car Class,Body,Color,Year,Make,Model,Mileage,Age,Trade ACV,Acquisition Cost,RECONDITIONING COST,Total Cost,Sale Price,Front Gross,Financing,warranty,insurance,other_products,Theft,Ultimate,Dent/Ding,Windshield,Tire/Wheel,Roadside,Bank Fees,Back Gross,Total Gross
31.143,eBay,0,1G261612,"Truck, Large Pick-up",2D Standard Cab,,12,DODG,RAM15,18660,24,1500,18000,945.98,19463.98,19976,637.02,537.3,1000,0,0,,,,,,,,1537.3,2174.32
509.827,eBay,350,2W522998,"SUV, Compact Sport Utility",4D Sport Utility,Tan,12,VW,TIGUAN,32710,11,0,13655,925.43,15098.43,15394,420.57,0,0,0,0,,,,,,,,0,420.57
228.351,eBay,0,1H557056,"Car, Intermediate",4D Sedan,,11,DODG,CHARO,31493,12,0,13000,832.46,14350.46,16780,2554.54,0,0,0,200,,,,,,,,200,2754.54
0,Unknown,0,1M302287,"Car, Luxury Sport",2D Roadster,Black Cherry,10,NISS,370Z,33644,22,0,21000,813.63,22331.63,22980,773.37,270,1000,0,200,125,,,,,,,1595,2368.37
917.834,AutoTrader,450,5FA49865,"Truck, Large Pick-up",4D SuperCrew,Red,14,FORD,F150,17222,75,20000,51675,1190.82,53383.82,53489,230.18,0,1000,0,0,,,,,,,,1000,1230.18
9.956,Cargurus,0,5M711594,"Car, Luxury",4D Sedan,Silver,13,INFI,G37,29707,56,0,21250,1143.62,22911.62,23692,905.38,1371.38,1000,242,200,125,500,,,,,,3438.38,4343.76
177.223,Cars.com,0,5EB12273,"Truck, Large Pick-up",4D Crew Cab,White,14,FORD,F250,3560,15,24000,51495,291.89,52304.89,55899,3719.11,1064.25,0,0,200,125,,,,,,,1389.25,5108.36
9.709,Cars.com,0,5H207691,"Car, Sport",2D Coupe,Black,14,DODG,CHAL,1095,10,0,27125,217.31,27860.31,29688,1952.69,1516.54,1000,242,200,125,,,,,,,3083.54,5036.23
0,Dealer,0,3U181254,"Car, Intermediate",4D Sedan,Silver,12,TOYO,CAMR,27465,168,0,15890,411.71,16819.71,16400,-419.71,0,0,0,0,,,,,,,,0,-419.71
0,Dealer,0,5G156348,"Truck, Large Pick-up",4D Crew Cab,White,14,RAMT,RAMT25,10899,64,0,37835,308.75,38661.75,38600,-61.75,0,0,0,0,,,,,,,,0,-61.75
902.453,eBay,300,5FC26188,"Truck, Large Pick-up",4D SuperCrew,Black,11,FORD,F150,42536,8,0,34275,1526.85,36319.85,35980,-214.85,729.79,0,0,0,,,,,,,75,804.79,589.94
898.243,eBay,750,2F140778,"Truck, Large Pick-up",4D Crew Cab,Black,13,GMC,SIER35,17270,134,0,48075,2068.05,50661.05,49980,-556.05,0,0,0,200,125,,,,,,,325,-231.05
9.709,eBay,0,5S683565,"SUV, Luxury Sport Utility",4D Sport Utility,Red,14,CADI,SRX,2543,49,10000,35275,278.2,36071.2,37811,1864.8,0,0,0,0,,,,,,,,0,1864.8
353.107,eBay,350,5G286662,"SUV, Luxury Sport Utility",4D Sport Utility,Red,14,MLT,GL354M,9771,39,0,39630,762.1,40910.1,41991,1205.9,0,0,0,0,,,,,,,,0,1205.9
24.128,Unknown,0,4G317889,"Truck, Large Pick-up",4D Crew Cab,Black,11,CHEV,AVALC,42293,57,0,32420,1781.08,34719.08,33588,-1006.08,740.88,0,0,200,125,,,,,,,1065.88,59.8
0,AutoTrader,0,4KD16282,"Truck, Large Pick-up",2D Standard Cab,White,14,FORD,F150,3488,50,0,19710,537.05,20765.05,20994,353.95,514.08,1000,0,200,125,,,,,,,1839.08,2193.03
108.636,AutoTrader,0,4FC28696,"Truck, Large Pick-up",2D Standard Cab,White,13,FORD,F150,15219,77,12000,12845,5360.75,18723.75,17994,-604.75,0,0,0,0,,,,,,,,0,-604.75
14.569,AutoTrader,0,4F175406,"Car, Luxury High",2D Coupe,Black,12,MB,E350C4,23821,45,16000,36355,591.34,37464.34,35362,-1977.34,100,0,0,0,,,,,,,,100,-1877.34
30.818,AutoTrader,75,5M630998,"Car, Luxury Sport",2D Coupe,Red,14,NISS,370Z,3705,95,0,27140,604.74,28262.74,28389,251.26,458.46,0,0,200,125,,,,,,,783.46,1034.72
42.179,Cargurus,0,3M424690,"Car, Luxury",2D Coupe,Gray,12,INFI,G37,25598,164,0,24755,1443.96,26716.96,25976,-615.96,146.88,0,0,0,,,,,,,,146.88,-469.08
24.575,eBay,0,4M831560,"Car, Luxury",4D Sedan,Blue,11,INFI,G25,32425,15,2500,18045,478.89,19041.89,19521,604.11,0,0,0,200,125,,,,,,,325,929.11
412.577,eBay,0,4KE04193,"Truck, Large Pick-up",4D SuperCrew,Silver,12,FORD,F150,25533,106,16000,35185,1158.8,36861.8,34643,-2093.8,152.21,1000,0,200,125,,,,,,,1477.21,-616.59
4.744,eBay,0,1KM10037,"SUV, Compact Sport Utility",4D Sport Utility,,6,MAZD,TRIBU,79868,2,1000,4100,911.21,5529.21,7980,2575.79,365.18,1000,292,0,,,,,,,,1657.18,4232.97
5.16,eBay,0,4U101034,"Car, Intermediate",4D Sedan,Black,14,CHEV,IMPA,30919,5,0,22510,1871.43,24899.43,24980,205.57,1278.65,1000,242,200,125,,,,,,50,2895.65,3101.22
33.282,eBay,0,5FA24826,"Truck, Large Pick-up",4D SuperCrew,Black,14,FORD,F150,4064,47,6500,42540,255.96,43313.96,43980,791.04,1786.05,1000,292,200,125,500,,,,,,3903.05,4694.09
8.423,eBay,0,4B131662,"Car, Subcompact",4D Hatchback,,11,CHEV,AVEO,48680,92,0,8120,2254.16,10892.16,9980,-787.16,0,1000,242,0,,,,,,,199,1441,653.84
30.097,AutoTrader,0,8EF03393,"SUV, Large Sport Utility",4D Sport Utility,Black,14,FORD,EXPDEL,14456,3,0,37000,788.22,38306.22,40500,2318.78,0,0,0,0,,,,,,,,0,2318.78
1175.158,AutoTrader,350,5S130604,"Car, Luxury Sport",2D Convertible,Red,13,PORS,BOX,15766,52,15000,52180,1328.77,54026.77,55290,1388.23,300,0,0,0,,,,,,,,300,1688.23
631.278,AutoTrader,400,4T594299,"Car, Subcompact",2D Convertible,Black,13,MINI,CPSRD,3200,28,0,22130,812.75,23460.75,23880,544.25,739.37,0,0,0,,,,,,,,739.37,1283.62
34.772,Cargurus,0,9S777181,"Car, Luxury Sport",2D Cabriolet,Silver,8,PORS,911,10055,60,25000,52000,291.87,52809.87,54793,2108.13,0,0,0,0,,,,,,,,0,2108.13
597.083,eBay,450,4N758733,"Truck, Small Pick-up",4D Crew Cab,Gray,14,NISS,FRON,6265,2,0,28945,863.02,30326.02,31980,1778.98,0,0,0,0,,,,,,,,0,1778.98
211.972,eBay,200,4N758733,"Truck, Small Pick-up",4D Crew Cab,Gray,12,BMW,750LXI,6265,60,11600,54095,1092.44,55705.44,53761,-1819.44,1297.18,0,242,200,,,,,,,,1739.18,-80.26
0,Google,0,1G612189,"Car, Luxury High",4D Sedan,,9,LINC,MKS,73325,25,1500,12000,806.71,13324.71,14980,1780.29,150,784,292,200,125,,,,,,290,1841,3621.29
63.065,Unknown,0,5W174953,"SUV, Intermediate Sport Utility",4D Sport Utility,Red,11,NISS,MURAN,31198,54,0,20725,1039.29,22282.29,21984,-173.29,0,0,0,0,,,,,,,,0,-173.29
17.792,AutoTrader,0,5D001592,"SUV, Luxury Sport Utility",4D Sport Utility,Gray,13,AUDI,Q730,10031,67,14000,45695,531.69,46744.69,46889,269.31,602.33,0,0,200,125,,,,,,,927.33,1196.64
28.005,AutoTrader,0,5P089862,"Car, Compact",4D Sedan,Blue,13,TOYO,COROL,5805,88,0,12985,1029.17,14532.17,13990,-417.17,150,0,0,0,,,,,,,,150,-267.17
34.232,Cargurus,350,5S155195,"Car, Luxury Sport",2D Cabriolet,Black,13,PORS,911,19694,57,40000,77605,1014.02,79137.02,83726,4713.98,300,0,0,200,,,,,,,100,600,5313.98
19.441,Cars.com,0,4DA51303,"Van, Full Size Vans",Cargo Van,White,14,FORD,E150,9863,27,15000,20695,154.01,21367.01,21847,604.99,350.65,0,0,200,125,,,,,,,675.65,1280.64
23.591,Cars.com,0,1FB82447,"Truck, Large Pick-up",4D SuperCrew,,12,FORD,F150,32560,3,0,31500,2015.26,34033.26,32930,-978.26,1034.55,0,0,0,,,,,,,,1034.55,56.29
0,eBay,0,5U155065,"Car, Compact",4D Hatchback,White,12,HYUN,ELAN,8347,66,0,11450,388.08,12356.08,13094,862.92,321.12,1000,0,200,125,,,,,,,1646.12,2509.04
575.646,eBay,700,4CY61802,"Car, Luxury High",4D Sedan,Black,9,BMW,750LIS,45075,29,21000,31415,2326.9,34259.9,32844,-1290.9,233.78,0,0,0,,,,,,,75,308.78,-982.12
435.916,eBay,200,4WP26500,"SUV, Compact Sport Utility",4D Sport Utility,Red,14,MINI,CNTYMN,10206,97,19000,27225,1060.21,28803.21,26887,-1791.21,0,0,0,0,,,,,,,,0,-1791.21
221.082,eBay,0,9W627341,"SUV, Compact Sport Utility",4D Sport Utility,,13,VW,TIGUAN,4965,106,0,20000,542.14,21060.14,18490,-2445.14,0,0,0,0,,,,,,,,0,-2445.14
43.752,Unknown,0,5R328245,"SUV, Luxury Sport Utility",4D Sport Utility,White,7,CADI,ESCAL,63126,5,0,23730,1303.4,25551.4,26780,1353.6,0,0,0,0,,,,,,,,0,1353.6
6.825,Unknown,0,1A044851,"Car, Intermediate",4D Sedan,,15,HOND,ACCO,4233,33,0,20000,278.77,20796.77,22899,2227.23,858.58,1000,242,200,125,,,,,,,2425.58,4652.81
23.591,Unknown,50,4B044009,"Van, Small Van",4D Passenger Van,White,15,HOND,ODYS,2205,9,0,37980,322.49,38820.49,39980,1284.51,150,0,292,200,,,,,,,,642,1926.51
14.589,Cargurus,0,4C843451,"Car, Intermediate",4D Sedan,Dark Brown,10,NISS,MAXIN,49412,71,15600,15655,501.23,16674.23,16481,-68.23,447.84,0,242,0,,,,,,,,689.84,621.61
6.604,Cargurus,0,1J339320,"SUV, Intermediate Sport Utility",4D Sport Utility,,11,CHEV,TRAV,25575,4,0,21500,934.37,22952.37,23000,172.63,767.09,1000,242,0,,,,,,,,2009.09,2181.72
300.359,Cars.com,325,4FC76460,"Truck, Large Pick-up",4D SuperCrew,Silver,11,FORD,F150,39631,102,14000,24333,1934.15,26785.15,25999,-661.15,706.16,0,242,0,,,,,,,,948.16,287.01
22.919,Cars.com,0,4X754473,"Car, Luxury High",4D Sedan,Silver,11,LINC,TOWNL,46598,14,0,19965,1294.42,21777.42,21590,-62.42,425.32,0,0,0,,,,,,,,425.32,362.9
0,Dealer,0,4S005910,"Car, Compact",4D Hatchback,,13,HOND,INSI,3228,91,0,13820,621.3,14959.3,14855,-104.3,0,0,0,0,,,,,,,,0,-104.3
1247.973,eBay,700,5M550069,"Car, Luxury Sport",2D Roadster,Silver,9,NISS,350Z,18557,53,0,19925,2763.13,23206.13,20899,-2182.13,128.97,0,0,0,,,,,,,75,203.97,-1978.16
650.436,eBay,400,5BD15140,"SUV, Intermediate Sport Utility",4D Sport Utility,Black,13,FORD,FLEX,31369,32,0,27855,1878.65,30251.65,29990,-136.65,0,0,0,0,,,,,,,,0,-136.65
1278.221,eBay,700,4FB27194,"Truck, Large Pick-up",4D SuperCrew,White,13,FORD,F150,26864,63,0,36390,1885.9,38793.9,38990,321.1,301.86,0,0,0,,,,,,,,301.86,622.96
206.925,eBay,200,5E512754,"Car, Intermediate",4D Sedan,Gray,12,VW,CC,25894,69,0,16320,857.3,17695.3,16060,-1510.3,100,1000,0,0,,,,,,,,1100,-410.3
988.489,eBay,450,5F251348,"Car, Luxury High",2D Convertible,Red,14,MB,E550A,2520,15,14000,59870,1203.75,61591.75,62890,1423.25,577.32,0,0,0,,,,,,,,577.32,2000.57
22.355,Google,0,5R180674,"SUV, Large Sport Utility",4D Sport Utility,Black,15,GMC,YUKON,10703,14,16500,54495,418.71,55431.71,55991,684.29,507,0,0,200,125,500,,,,,75,1407,2091.29
354.076,Unknown,325,5H603275,"Car, Sport",2D Coupe,White,11,DODG,CHAL,6014,19,0,19995,537.99,21050.99,21860,934.01,453.6,1000,0,200,125,,,,,,,1778.6,2712.61
14.8,AutoTrader,0,4M195053,"Car, Subcompact",4D Sedan,Silver,14,FORD,FIES,2351,85,0,10230,715.23,11463.23,11979,640.77,260.58,0,0,200,125,,,,,,,585.58,1226.35
24.742,AutoTrader,0,3T614076,"SUV, Compact Sport Utility",4D Sport Utility,White,13,DODG,JOURNY,39679,191,0,15780,1098.78,17396.78,15586,-1685.78,0,0,0,0,,,,,,,,0,-1685.78
22.121,Cars.com,0,5P103374,"Car, Compact",4D Sedan,,13,TOYO,COROL,34484,77,0,11075,1411.67,13004.67,12780,-99.67,0,0,0,200,125,,,,,,,325,225.33
35.109,Cars.com,0,5A900328,"Car, Luxury Sport",2D Coupe,,14,AUDI,RS5QT,12990,15,0,59595,1187.24,61300.24,64580,3404.76,0,0,0,0,,,,,,,,0,3404.76
305.949,eBay,0,5M213511,"Car, Luxury",2D Coupe,White,11,INFI,G37,44510,263,0,21945,2006.93,24469.93,22406,-1938.93,0,0,0,0,0,,,,,,,0,-1938.93
1346.406,eBay,700,5A777642,"SUV, Luxury Sport Utility",4D Sport Utility,White,12,MLT,GL5504,16470,8,15000,49820,2282.98,52620.98,52345,-150.98,372.54,0,0,0,0,,,,,,,372.54,221.56
9.56,eBay,0,5R144712,"Van, Small Van",4D Passenger Van,Black,14,VW,ROUTAN,14908,66,500,18095,728.85,19341.85,18975,-241.85,648.65,1000,242,200,125,500,,,,,,2715.65,2473.8
7.514,AutoTrader,0,5LA84628,"SUV, Large Sport Utility",4D Sport Utility,Blue,8,FORD,EXPED,51458,3,500,16600,829.47,17947.47,19780,1957.53,0,1000,0,0,,,,,,,,1000,2957.53
8.304,Dealer,0,5C267867,"SUV, Luxury Sport Utility",4D Sport Utility,White,15,LEXU,RX350,3329,34,0,44630,365.46,45513.46,47227,1713.54,0,0,0,0,,,,,,,,0,1713.54
0,Dealer,0,5FC16341,"Truck, Large Pick-up",4D SuperCrew,White,13,FORD,F150,23687,83,0,47615,923.21,49056.21,47615,-1441.21,0,0,0,0,,,,,,,,0,-1441.21
0,Dealer,0,3F353603,"Car, Intermediate",4D Sedan,White,13,CHEV,MALI,9356,141,0,13975,579.16,15072.16,14700,-372.16,0,0,0,0,,,,,,,,0,-372.16
20.536,eBay,0,5H227857,"Car, Sport",2D Coupe,Yellow,12,DODG,CHAL,5897,32,0,36625,289.34,37432.34,39976,2668.66,1871.21,1000,0,200,125,500,,,,,,3696.21,6364.87
103.693,eBay,0,5C867607,"Car, Intermediate",4D Sedan,Gray,11,NISS,MAXIN,26702,99,0,17710,644.31,18872.31,18959,211.69,200,1000,292,200,125,500,,,,,,2317,2528.69
1524.843,eBay,450,5S106550,"Car, Luxury Sport",2D Coupe,,12,PORS,911,57611,17,0,56895,3688.64,61101.64,59998,-978.64,402.41,1000,242,200,,,,,,,,1844.41,865.77
893.39,eBay,500,4G190845,"Car, Intermediate",4D Sedan,Gray,11,FORD,TAUR,40255,70,0,21910,2357.49,24785.49,21896,-2764.49,0,0,0,0,,,,,,,,0,-2764.49
890.334,eBay,325,5H130198,"Car, Sport",2D Coupe,Red,12,DODG,CHAL,8108,21,0,33175,852.41,34545.41,35998,1577.59,250,0,0,0,,,,,,,,250,1827.59
121.021,AutoTrader,0,3B093922,"Van, Small Van",4D Passenger Van,Gold,10,HOND,ODYS,35738,141,500,20850,1197.83,22565.83,19767,-2673.83,346.08,1000,0,200,125,,,,,,,1671.08,-1002.75
202.473,AutoTrader,0,1U013420,"Car, Sport",2D Coupe,,10,HYUN,GENECP,43327,26,0,11500,2484.18,14502.18,14918,540.82,150,0,0,0,,,,,,,,150,690.82
18.783,AutoTrader,0,4T185435,"Car, Subcompact",2D Hatchback,Blue,12,MINI,COOPER,32363,18,0,13355,1221.51,15094.51,14749,-220.51,140.11,0,0,200,125,,,,,,,465.11,244.6
33.703,Cargurus,0,4VM24491,"Car, Luxury",2D Convertible,White,11,BMW,135ICV,23432,17,0,24470,405.33,25393.33,26970,1701.67,0,0,0,0,,,,,,,,0,1701.67
14.589,Cars.com,0,4C750975,"Car, Luxury High",4D Sedan,White,11,BMW,528I,31970,23,0,27300,1546.48,29364.48,28449,-790.48,1617.34,1000,217,200,125,,,,,,,3159.34,2368.86
9.56,eBay,0,5A036306,"Car, Luxury High",4D Sedan,Red,12,MB,CLS550,11424,239,0,46705,919.71,48142.71,49969,1951.29,599.88,1000,242,200,125,,,,,,,2166.88,4118.17
16.675,eBay,0,1C264883,"SUV, Intermediate Sport Utility",4D Sport Utility,,14,JEEP,GRANC,9666,19,0,37500,415.82,38433.82,39994,1685.18,0,1000,0,200,,,,,,,,1200,2885.18
13.193,eBay,0,5A006256,"SUV, Luxury Sport Utility",4D Sport Utility,Black,14,AUDI,Q520T,14442,68,500,38260,1246.55,40024.55,39979,79.45,0,1000,292,200,125,500,,,,,,2117,2196.45
215.241,eBay,0,4VP76145,"Car, Luxury Sport",2D Coupe,Black,11,BMW,1MCP,5091,50,52500,54680,435.75,55633.75,58584,3075.25,0,0,0,200,125,,,,,,,325,3400.25
91.712,eBay,0,4WL53298,"SUV, Compact Sport Utility",4D Sport Utility,Black,11,MINI,SCTYA4,21005,78,0,21330,892.87,22740.87,21848,-767.87,0,0,0,200,125,,,,,,,325,-442.87
18.783,TrueCar,0,4M203104,"Car, Luxury",2D Convertible,White,12,INFI,G37,28443,3,0,27500,702.68,28720.68,29980,1384.32,462.17,1000,242,200,125,,,,,,,2029.17,3413.49
10.375,TrueCar,0,3M679255,"Car, Luxury",4D Sedan,Red,14,INFI,Q50,4995,37,0,38075,724.65,39317.65,36800,-2392.65,0,0,0,200,125,,,,,,,325,-2067.65
227.379,Unknown,0,1H143684,"Car, Intermediate",4D Sedan,,12,DODG,CHARO,71223,33,0,26000,1078.49,27596.49,28585,1113.51,0,0,0,0,,,,,,,,0,1113.51
35.109,AutoTrader,0,4A334330,"SUV, Luxury Sport Utility",4D Sport Utility,White,11,LAND,RANGL,43788,20,0,46200,401.82,47119.82,49406,2411.18,528.7,0,242,0,,,,,,,,770.7,3181.88
159.163,AutoTrader,225,4G164130,"Truck, Large Pick-up",4D Crew Cab,White,14,RAMT,RAMT35,11620,39,21000,37685,629,38832,39980,1273,563.99,1000,0,0,,,,,,,,1563.99,2836.99
21.959,AutoTrader,0,4T595351,"SUV, Compact Sport Utility",4D Sport Utility,Silver,13,DODG,JOURNY,24915,68,3500,20360,1172.97,22050.97,22266,340.03,514.99,1000,0,0,,,,,,,,1514.99,1855.02
671.926,AutoTrader,400,5G335704,"Truck, Large Pick-up",4D Crew Cab,Black,13,CHEV,AVALC,20391,18,7500,36025,1395.95,37938.95,39780,1966.05,0,0,0,0,125,,,,,,,125,2091.05
8.423,AutoTrader,0,9R216838,"SUV, Large Sport Utility",4D Sport Utility,White,11,GMC,YUKON,89601,21,15000,19500,1665.4,21683.4,23980,2421.6,825.52,1000,242,200,125,,,,,,,2392.52,4814.12
9.122,Cargurus,0,4R301513,"SUV, Large Sport Utility",4D Sport Utility,Silver,12,GMC,YUKON,44692,19,0,38735,562.29,39815.29,38997,-693.29,0,0,0,0,,,,,,,,0,-693.29
37.008,Cars.com,0,2H512561,"SUV, Luxury Sport Utility",4D Sport Utility,Black,13,ACUR,MDX,21272,124,8500,35000,822.5,36340.5,34990,-1225.5,434.42,0,0,200,125,,,,,,,759.42,-466.08
998.776,eBay,700,5L587791,"SUV, Intermediate Sport Utility",4D Sport Utility,White,13,JEEP,WRANU,21914,18,16000,30000,1500.83,32018.83,33480,1586.17,218.14,1000,0,0,,,,,,,,1218.14,2804.31
1348.952,eBay,500,9H582824,"Car, Intermediate",4D Sedan,White,11,CHRY,300,52898,20,0,15500,1003.78,17021.78,17594,697.22,942.24,0,0,200,125,,,,,,,1267.24,1964.46
225.607,eBay,200,1G263875,"Truck, Large Pick-up",4D Crew Cab,,10,GMC,SIER15,71325,31,500,20500,1657.22,22675.22,24768,2217.78,949.48,0,242,0,,,,,,,,1191.48,3409.26
1054.085,eBay,700,5M823624,"Car, Compact",2D Convertible,Yellow,13,VW,BEETCV,7993,90,0,19295,1467.61,21280.61,19970,-1185.61,150,1000,0,0,0,,,,,,,1150,-35.61
298.845,AutoTrader,200,5U429275,"Car, Luxury",4D Sedan,Black,11,TOYO,AVALO,27027,26,3500,22145,1039.58,23702.58,22780,-797.58,0,0,0,0,0,,,,,,,0,-797.58
214.625,AutoTrader,200,5R145989,"SUV, Large Sport Utility",4D Sport Utility,White,14,CHEV,TAHO,14541,20,9000,45000,882.29,46400.29,47000,724.71,484.14,1000,242,200,125,,,,,,,2051.14,2775.85
29.599,Cars.com,0,5PA90510,"Truck, Small Pick-up",,Black,11,FORD,RANGF,10533,15,0,16230,561.48,17309.48,18780,1595.52,0,0,0,200,125,,,,,,,325,1920.52
12.364,Cars.com,0,5H219811,"Car, Sport",2D Coupe,Orange,10,DODG,CHAL,5800,74,3000,22925,360.36,23803.36,25767,2088.64,1279.2,1000,395,200,125,,,,,,,2999.2,5087.84
10.375,eBay,0,4MV21610,"Car, Luxury High",4D Sedan,Black,11,JAGU,XJ,33367,81,0,44000,2805.72,47323.72,43990,-3208.72,777.05,1000,0,200,125,,,,,,,2102.05,-1106.67
200.896,Google,200,9R256212,"SUV, Large Sport Utility",4D Sport Utility,Black,12,CHEV,TAHO,21605,43,6500,34500,863.16,35881.16,37499,1742.84,689.98,0,292,0,0,,,,,,,981.98,2724.82
0,TrueCar,0,1S621835,"Truck, Large Pick-up",4D Crew Cab,Silver,13,RAMT,RAMT15,34300,24,0,32000,1882.76,34400.76,36724,2448.24,0,0,0,0,,,,,,,,0,2448.24
0,AutoTrader,0,4B112594,"Truck, Small Pick-up",2D Standard Cab,Black,4,CHEV,SSR,33700,99,10500,19000,1885.99,21403.99,21980,701.01,368.04,0,0,200,125,,,,,,,693.04,1394.05
9.956,AutoTrader,0,1T295832,"Car, Subcompact",2D Hatchback,,12,FIAT,500ABRTH,38605,39,0,7000,1108.17,8626.17,9985.88,1484.71,0,0,0,0,0,,,,,,,0,1484.71
203.246,Cars.com,200,1L065725,"Car, Luxury High",4D Hatchback,,10,PORS,PANA,75770,74,0,40000,3241.25,43759.25,44980,1345.75,1065.5,0,242,200,0,,,,,,,1507.5,2853.25
18.672,Cars.com,0,9KD22830,"Truck, Large Pick-up",4D SuperCrew,Black,13,FORD,F150,54635,22,0,20500,1551.82,22569.82,23700,1255.18,0,0,0,200,125,500,,,,,,825,2080.18
31.762,Cars.com,0,5V500355,"Car, Luxury Sport",2D Convertible,Silver,3,DODG,VIPED,148,76,0,45375,718.77,46611.77,48989,2502.23,0,0,0,200,125,,,,,,,325,2827.23
27.039,Dealer,0,4A746422,"SUV, Luxury Sport Utility",4D Sport Utility,White,12,LAND,RGRVSP,39258,47,0,43200,565.88,44283.88,45798.62,1514.74,0,0,0,0,0,,,,,,,0,1514.74
0,Dealer,0,5B621028,"SUV, Compact Sport Utility",4D Sport Utility,White,14,BUIC,ENCR,731,97,0,25575,242.75,26335.75,26900,564.25,0,0,0,0,0,,,,,,,0,564.25
1233.41,eBay,650,5A002153,"SUV, Luxury Sport Utility",4D Sport Utility,White,10,ACUR,RDX,46274,105,14000,22745,2231.06,25494.06,21491,-3878.06,287.88,0,0,200,125,500,,,,,,1112.88,-2765.18
1283.08,eBay,700,4A029918,"Car, Luxury",4D Hatchback,Silver,13,AUDI,A320TQ,32129,95,6500,26000,1608.51,28126.51,26676,-1325.51,0,0,0,200,125,,,,,,,325,-1000.51
8.1,eBay,0,9M300320,"Car, Luxury High",4D Sedan,,7,INFI,M35,65102,43,0,15000,581.36,16099.36,14994,-980.36,157,0,0,0,0,,,,,,,157,-823.36
1593.084,eBay,450,2C420858,"Truck, Small Pick-up",4D Crew Cab,Red,12,NISS,FRON,31112,165,0,17500,2120.84,20138.84,17429,-2584.84,0,0,0,0,0,,,,,,,0,-2584.84
779.735,eBay,650,4BD31815,"SUV, Intermediate Sport Utility",4D Sport Utility,Gray,14,FORD,FLEX,9302,65,18000,34000,1474.14,35992.14,35998,130.86,329.86,1000,0,200,125,,,,,,,1654.86,1785.72
11.894,Unknown,0,4F005693,"Car, Luxury High",2D Coupe,Silver,10,MB,E350C,20660,69,0,26300,1099.69,27917.69,27959,166.31,795,0,242,200,125,500,,,,,,1862,2028.31
0,Unknown,0,5KE01976,"Truck, Large Pick-up",4D SuperCrew,Red,14,FORD,F150,11382,82,0,37995,309.28,38822.28,39496,798.72,0,0,0,200,125,,,,,,,325,1123.72
4.058,Unknown,0,9C637432,"Car, Compact",4D Sedan,Silver,11,TOYO,COROL,19646,15,0,12600,580,13698,13500,-73,0,0,0,0,0,,,,,,,0,-73
29.264,AutoTrader,0,4R350342,"Car, Intermediate",4D Sedan,Blue,13,FORD,FUSN,33065,97,11000,13095,608.55,14221.55,14998,901.45,626.98,0,0,0,0,,,,,,,626.98,1528.43
18.464,AutoTrader,0,5FB00292,"Truck, Large Pick-up",4D SuperCrew,Blue,12,FORD,F150,57601,87,0,43545,622.59,44685.59,44979,418.41,0,0,0,200,125,,,,,,,325,743.41
44.103,Cargurus,0,3U140793,"Car, Luxury",4D Sedan,Gold,9,CADI,DTS,48835,187,6600,15255,981.67,16754.67,14986,-1643.67,0,0,0,0,0,,,,,,,0,-1643.67
0,Dealer,0,4E302228,"Car, Luxury",4D Sedan,Gray,13,ACUR,ILXHY,4166,90,0,24935,490.58,25943.58,23699,-2244.58,0,0,0,0,0,,,,,,,0,-2244.58
0,Dealer,0,5C104142,"Car, Intermediate",4D Sedan,Black,13,NISS,ALTIMA,17915,108,0,19450,1267.06,21235.06,21549,313.94,0,0,0,0,0,,,,,,,0,313.94
0,Dealer,0,4G506845,"Truck, Large Pick-up",2D Standard Cab,Blue,13,RAMT,RAMT15,21931,91,0,16310,238,17066,17500,434,0,0,0,0,0,,,,,,,0,434
1324.574,eBay,700,5G127860,"Truck, Large Pick-up",4D Sport Utility,Blue,13,CADI,ESCALX,41500,100,0,42590,2054.26,45162.26,49759,4721.74,0,0,0,200,125,,,,,,,325,5046.74
345.668,eBay,200,9EB61736,"Truck, Large Pick-up",4D Crew Cab,White,14,FORD,F250,16209,17,32000,50000,930.99,51448.99,53780,2456.01,1194.81,1000,0,200,125,,,,,,,2519.81,4975.82
670.734,eBay,550,4H284106,"Car, Sport",2D Coupe,Gray,14,DODG,CHAL,3303,62,0,37375,1172.16,39065.16,37391,-1549.16,0,0,0,200,125,,,,,,,325,-1224.16
1425.698,eBay,450,4T025656,"Car, Compact",4D Hatchback,Silver,12,NISS,LEAF,8916,97,0,13905,1288.65,15711.65,13990,-1596.65,0,0,0,0,0,,,,,,,0,-1596.65
740.089,eBay,350,5N099367,"Car, Luxury High",4D Sedan,Silver,14,AUDI,A620TQ,4220,94,0,39770,959.75,41247.75,41990,867.25,0,0,0,0,0,,,,,,,0,867.25
9.122,AutoTrader,0,4K134811,"SUV, Intermediate Sport Utility",4D Sport Utility,Blue,12,TOYO,FJCRUI,28051,63,0,29740,339.29,30597.29,30768,295.71,0,1000,0,200,125,,,,,,,1325,1620.71
23.284,AutoTrader,0,4J375525,"SUV, Intermediate Sport Utility",4D Sport Utility,Black,12,GMC,ACADIA,16840,39,0,30450,641.76,31609.76,32998,1513.24,0,0,0,200,125,,,,,,,325,1838.24
224.487,AutoTrader,0,5F453552,"Car, Luxury",4D Sedan,Gray,14,BMW,328ISD,4480,16,16600,28500,855.66,29873.66,31980,2231.34,0,0,0,0,0,,,,,,,0,2231.34
